"","Component","AUC","MaxInt","SNR","peak_cor","foundRT","pop","ID","NAME","m.z","tr"
"1","131",27764719.5136138,7013989.1031746,8.26880874033766,0.910928175781422,52.8562052762656,14,"131","D-(+)-Glucose",203.05261,54.6
"2","1576",8665856.88918546,2052563.33333333,12.9096895945254,0.977346602194475,111.99853567158,11,"1576","L-Tyrosine-d2",184.09372,109.2
"3","1577",31303340.7683935,9601707.34920635,5.33798605493744,0.947359148728497,529.662611608147,7.66666666666667,"1577","Indole-3-acetic acid-d5",181.10199,529.2
"4","1578",23253704.8812966,6981962.99206349,8.12426804920348,0.975957665031154,89.1415349833788,8.33333333333333,"1578","Dopamine-d4",158.11113,88.2
"5","1583",110543480.559078,30890172.2936508,13.4455504043649,0.984426671293566,240.419813833229,10,"1583","L-Phenylalanine-d2",168.0988,240
"6","179",37291815.0848485,8723542.50793651,9.33731187318536,0.961974630496346,53.1610910642566,13.8333333333333,"179","L-Glutamic acid",148.06043,52.8
"7","183",17958081.4551701,3182795.87301587,12.1609492603006,0.83666849481852,56.2214746408418,14.1666666666667,"183","gamma-Aminobutyric acid (GABA)",104.07061,55.2
"8","331",3060961.70965364,764050.412698412,10.0886858599399,0.975845468912897,52.7025567738618,10.5,"331","L-Alanine-d3",93.07378,51.6
"9","7",1424102.62846747,280478.531746032,10.6535766782818,0.930163766957841,58.0588118635561,11.5,"7","Glycerol ",93.05462,58.2
"10","9",1811429.48474158,324646.698412698,16.5901536507519,0.981049515235473,73.6052633768087,15.6666666666667,"9","1,3-Propanediol",77.05971,75
