"","Component","MS_A_POS.mzML","MS_B_POS.mzML","MS_C_POS.mzML","MS_D_POS.mzML","MS_E_POS.mzML","MS_F_POS.mzML","MS_QC_POOL_1_POS.mzML","MS_QC_POOL_2_POS.mzML","MS_QC_POOL_3_POS.mzML","MS_QC_POOL_4_POS.mzML"
"1","14",18.8999931150799,18.0657837600868,9.41810482616674,12.4646610680839,23.2093157128368,24.8095933367497,15.9144882435304,18.9275969836336,19.114089069052,12.6342675510375
"2","15",14.8186807097077,12.5822006794769,11.3810726165354,16.1503381045161,11.3982696437412,9.04397533464729,13.7873099054681,12.2716518353254,13.1306454157534,12.3756344819995
"3","17",22.2047282444857,13.006488498996,44.5169386291132,33.5636580687499,33.4475517523871,40.2474329169311,20.5577121310678,19.3901922769902,13.1814229153869,26.2664131205738
"4","21",NA,22.8714113940066,13.5557256176749,3.77525014061449,31.5549503576308,NA,13.5392634854145,10.7946121289574,13.4332730680786,13.9652410427937
"5","22",21.1633457139981,23.4642288437493,30.576955792873,31.4892364961637,26.7814907195345,7.58330690150045,20.7146375074376,51.3931518484691,27.5772018806969,21.3769419754755
"6","23",3.7752140393582,3.5203720777383,7.47247015765722,NA,7.6560845524372,NA,13.211519161893,22.5490812048731,21.169569407876,11.0929000433222
"7","24",6.01465654474275,14.0065022471179,15.279478492048,5.98077470359241,12.0349106710322,21.5303919555558,3.47524447579479,6.95981237787877,15.5424179693264,9.6831581225142
"8","25",3.77520010111208,28.4971407981413,10.3550025635424,4.19753354842186,13.1508614724887,NA,20.3699511930781,10.3321048464392,27.3128308835553,9.89707249626045
"9","26",3.77525014061449,5.59114342949626,3.77525014061449,3.77525014061449,1.48163460175559,6.01763192985067,17.3610548546195,3.77525014061449,3.77525014061451,3.77525014061452
"10","7",13.7409259262966,15.0316772362926,22.6861951897629,15.6992798062755,16.9539111404394,18.6146479335875,18.9286849034887,24.2878031380101,15.1312000507913,15.4890337920509
"11","8",12.0291208089642,11.3649269726491,12.0258476070935,11.9880647414621,12.8108102719783,12.3879593095374,11.3618193875236,11.0223422688327,11.4801492309575,11.1825954683348
